"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"50","1120_1121",0,0,0,0.854,0.842,0
"51","1121_24",0,0,0,0.842,1,1
"52","1121_1122",0,0,0,0.842,0.83,0
"53","1122_1123",0,0,0,0.83,0.812,0
"54","1123_1124",0,0,0,0.812,0.81,0
"55","1124_25",0,0,0,0.81,1,1
"56","1124_26",0,0,0,0.81,1,1
"57","1123_1125",0,0,0,0.812,0.786,0
"58","1125_1126",0,0,0,0.786,0.928,1
"59","1126_27",0,0,0,0.928,1,1
"60","1126_28",0,0,0,0.928,1,1
"61","1125_1127",0,0,0,0.786,0.772,0
"62","1127_1128",0,0,0,0.772,0.79,1
"63","1128_29",0,0,0,0.79,1,1
"64","1128_30",0,1,1,0.79,1,1
"65","1127_31",0,1,1,0.772,1,1
"66","1122_32",0,0,0,0.83,1,1
"67","1120_1129",0,0,0,0.854,0.862,1
"68","1129_1130",0,0,0,0.862,0.846,0
"69","1130_1131",0,0,0,0.846,0.868,1
"70","1131_33",0,0,0,0.868,1,1
"71","1131_34",0,0,0,0.868,1,1
"72","1130_35",0,0,0,0.846,1,1
"73","1129_1132",0,0,0,0.862,0.814,0
"74","1132_1133",0,0,0,0.814,0.886,1
"75","1133_1134",0,0,0,0.886,0.9,1
"76","1134_36",0,0,0,0.9,1,1
"77","1134_37",0,0,0,0.9,1,1
"78","1133_1135",0,0,0,0.886,0.92,1
"79","1135_1136",0,0,0,0.92,0.97,1
"80","1136_38",0,0,0,0.97,1,1
"81","1136_1137",0,0,0,0.97,0.994,1
"82","1137_39",0,0,0,0.994,1,1
"83","1137_40",0,0,0,0.994,1,1
"84","1135_1138",0,0,0,0.92,0.9,0
"85","1138_1139",0,0,0,0.9,0.8,0
"86","1139_41",0,0,0,0.8,1,1
"87","1139_1140",0,0,0,0.8,0.574,0
"88","1140_42",0,1,1,0.574,1,1
"89","1140_43",0,0,0,0.574,1,1
"90","1138_44",0,0,0,0.9,1,1
"91","1132_45",0,1,1,0.814,1,1
"92","1116_1141",0,0,0,0.878,0.884,1
"93","1141_1142",0,0,0,0.884,0.878,0
"94","1142_1143",0,0,0,0.878,0.87,0
"95","1143_1144",0,0,0,0.87,0.856,0
"96","1144_46",0,0,0,0.856,1,1
"97","1144_1145",0,0,0,0.856,0.93,1
"98","1145_1146",0,0,0,0.93,0.986,1
"99","1146_47",0,0,0,0.986,1,1
"100","1146_1147",0,0,0,0.986,1,1
"101","1147_1148",0,0,0,1,1,0
"102","1148_48",0,0,0,1,1,0
"103","1148_49",0,0,0,1,1,0
"104","1147_50",0,0,0,1,1,0
"105","1145_1149",0,0,0,0.93,0.996,1
"106","1149_51",0,0,0,0.996,1,1
"107","1149_1150",0,0,0,0.996,0.998,1
"108","1150_52",0,0,0,0.998,1,1
"109","1150_53",0,0,0,0.998,1,1
"110","1143_1151",0,0,0,0.87,0.858,0
"111","1151_1152",0,0,0,0.858,0.848,0
"112","1152_1153",0,0,0,0.848,0.852,1
"113","1153_1154",0,0,0,0.852,0.894,1
"114","1154_1155",0,0,0,0.894,0.992,1
"115","1155_54",0,0,0,0.992,1,1
"116","1155_55",0,0,0,0.992,1,1
"117","1154_1156",0,0,0,0.894,0.93,1
